LAST SEEN   TYPE      REASON                    OBJECT                                            MESSAGE
42m         Normal    NodeHasSufficientPID      node/mastervm-centos                              Node mastervm-centos status is now: NodeHasSufficientPID
42m         Normal    NodeHasNoDiskPressure     node/mastervm-centos                              Node mastervm-centos status is now: NodeHasNoDiskPressure
42m         Normal    NodeHasSufficientMemory   node/mastervm-centos                              Node mastervm-centos status is now: NodeHasSufficientMemory
42m         Normal    Starting                  node/mastervm-centos                              Starting kubelet.
42m         Normal    NodeAllocatableEnforced   node/mastervm-centos                              Updated Node Allocatable limit across pods
38m         Normal    SandboxChanged            pod/employee-salary-deployment-79f69bf76f-zjzfb   Pod sandbox changed, it will be killed and re-created.
38m         Normal    SandboxChanged            pod/employee-deployment-94fd8c7cb-l59q8           Pod sandbox changed, it will be killed and re-created.
40m         Normal    Starting                  node/workervm-centos                              Starting kube-proxy.
40m         Normal    SandboxChanged            pod/mysql-deploy-84bc6656f8-cmc68                 Pod sandbox changed, it will be killed and re-created.
40m         Normal    Starting                  node/mastervm-centos                              Starting kube-proxy.
40m         Normal    Started                   pod/mysql-deploy-84bc6656f8-cmc68                 Started container mysql
40m         Normal    Created                   pod/mysql-deploy-84bc6656f8-cmc68                 Created container mysql
40m         Normal    Pulled                    pod/mysql-deploy-84bc6656f8-cmc68                 Container image "mysql:5.7" already present on machine
40m         Normal    RegisteredNode            node/mastervm-centos                              Node mastervm-centos event: Registered Node mastervm-centos in Controller
40m         Normal    RegisteredNode            node/workervm-centos-2                            Node workervm-centos-2 event: Registered Node workervm-centos-2 in Controller
40m         Normal    RegisteredNode            node/workervm-centos                              Node workervm-centos event: Registered Node workervm-centos in Controller
40m         Normal    Pulling                   pod/employee-salary-deployment-79f69bf76f-sn4ps   Pulling image "eshghos/kubernetes-salary-service:latest"
40m         Normal    Created                   pod/employee-salary-deployment-79f69bf76f-sn4ps   Created container kubernetes-secret
40m         Normal    Pulled                    pod/employee-salary-deployment-79f69bf76f-sn4ps   Successfully pulled image "eshghos/kubernetes-salary-service:latest" in 648.412009ms
40m         Normal    Started                   pod/employee-salary-deployment-79f69bf76f-sn4ps   Started container kubernetes-secret
40m         Normal    Created                   pod/employee-deployment-94fd8c7cb-ggh8l           Created container kubernetes-secret
40m         Normal    Pulling                   pod/employee-deployment-94fd8c7cb-ggh8l           Pulling image "eshghos/kubernetes-secret:latest"
40m         Normal    Pulled                    pod/employee-deployment-94fd8c7cb-ggh8l           Successfully pulled image "eshghos/kubernetes-secret:latest" in 495.162294ms
40m         Normal    Started                   pod/employee-deployment-94fd8c7cb-ggh8l           Started container kubernetes-secret
39m         Normal    Starting                  node/workervm-centos-2                            Starting kube-proxy.
38m         Normal    Pulling                   pod/employee-deployment-94fd8c7cb-l59q8           Pulling image "eshghos/kubernetes-secret:latest"
38m         Normal    Pulling                   pod/employee-salary-deployment-79f69bf76f-zjzfb   Pulling image "eshghos/kubernetes-salary-service:latest"
38m         Normal    Pulled                    pod/employee-salary-deployment-79f69bf76f-zjzfb   Successfully pulled image "eshghos/kubernetes-salary-service:latest" in 553.521082ms
38m         Normal    Created                   pod/employee-salary-deployment-79f69bf76f-zjzfb   Created container kubernetes-secret
38m         Normal    Started                   pod/employee-salary-deployment-79f69bf76f-zjzfb   Started container kubernetes-secret
38m         Normal    Pulled                    pod/employee-deployment-94fd8c7cb-l59q8           Successfully pulled image "eshghos/kubernetes-secret:latest" in 1.07381958s
38m         Normal    Created                   pod/employee-deployment-94fd8c7cb-l59q8           Created container kubernetes-secret
38m         Normal    Started                   pod/employee-deployment-94fd8c7cb-l59q8           Started container kubernetes-secret
38m         Normal    Scheduled                 pod/nginx                                         Successfully assigned default/nginx to workervm-centos
38m         Normal    Pulling                   pod/nginx                                         Pulling image "nginx"
37m         Normal    Started                   pod/nginx                                         Started container nginx
37m         Normal    Created                   pod/nginx                                         Created container nginx
37m         Normal    Pulled                    pod/nginx                                         Successfully pulled image "nginx" in 3.57749908s
34m         Normal    Scheduled                 pod/nginx                                         Successfully assigned default/nginx to workervm-centos
34m         Normal    Pulling                   pod/nginx                                         Pulling image "nginx"
34m         Normal    Pulled                    pod/nginx                                         Successfully pulled image "nginx" in 714.895701ms
34m         Normal    Created                   pod/nginx                                         Created container nginx
34m         Normal    Started                   pod/nginx                                         Started container nginx
32m         Normal    Scheduled                 pod/nginx                                         Successfully assigned default/nginx to workervm-centos
32m         Normal    Pulling                   pod/nginx                                         Pulling image "nginx"
32m         Normal    Pulled                    pod/nginx                                         Successfully pulled image "nginx" in 765.23343ms
32m         Normal    Created                   pod/nginx                                         Created container nginx
32m         Normal    Started                   pod/nginx                                         Started container nginx
31m         Normal    Killing                   pod/nginx                                         Stopping container nginx
28m         Normal    Scheduled                 pod/sleepbusy                                     Successfully assigned default/sleepbusy to workervm-centos
28m         Normal    Pulling                   pod/sleepbusy                                     Pulling image "busybox"
28m         Normal    Pulled                    pod/sleepbusy                                     Successfully pulled image "busybox" in 825.556202ms
28m         Warning   Failed                    pod/sleepbusy                                     Error: failed to start container "sleepbusy": Error response from daemon: OCI runtime create failed: container_linux.go:349: starting container process caused "exec: \"command\": executable file not found in $PATH": unknown
28m         Normal    Created                   pod/sleepbusy                                     Created container sleepbusy
26m         Normal    Scheduled                 pod/sleepbusy                                     Successfully assigned default/sleepbusy to workervm-centos
26m         Normal    Pulling                   pod/sleepbusy                                     Pulling image "busybox"
26m         Normal    Created                   pod/sleepbusy                                     Created container sleepbusy
26m         Warning   Failed                    pod/sleepbusy                                     Error: failed to start container "sleepbusy": Error response from daemon: OCI runtime create failed: container_linux.go:349: starting container process caused "exec: \"command\": executable file not found in $PATH": unknown
26m         Normal    Pulled                    pod/sleepbusy                                     Successfully pulled image "busybox" in 808.050468ms
24m         Normal    Scheduled                 pod/sleepbusy                                     Successfully assigned default/sleepbusy to workervm-centos
24m         Normal    Pulling                   pod/sleepbusy                                     Pulling image "busybox"
24m         Normal    Pulled                    pod/sleepbusy                                     Successfully pulled image "busybox" in 1.267559573s
24m         Normal    Started                   pod/sleepbusy                                     Started container sleepbusy
24m         Normal    Created                   pod/sleepbusy                                     Created container sleepbusy
24m         Normal    Killing                   pod/sleepbusy                                     Stopping container sleepbusy
24m         Normal    Scheduled                 pod/sleepbusy                                     Successfully assigned default/sleepbusy to workervm-centos
24m         Normal    Pulling                   pod/sleepbusy                                     Pulling image "busybox"
24m         Normal    Created                   pod/sleepbusy                                     Created container sleepbusy
24m         Normal    Pulled                    pod/sleepbusy                                     Successfully pulled image "busybox" in 656.841763ms
24m         Normal    Started                   pod/sleepbusy                                     Started container sleepbusy
23m         Normal    Killing                   pod/sleepbusy                                     Stopping container sleepbusy
23m         Normal    Pulling                   pod/sleepbusy                                     Pulling image "busybox"
23m         Normal    Scheduled                 pod/sleepbusy                                     Successfully assigned default/sleepbusy to workervm-centos
23m         Normal    Pulled                    pod/sleepbusy                                     Successfully pulled image "busybox" in 675.724571ms
23m         Normal    Started                   pod/sleepbusy                                     Started container sleepbusy
23m         Normal    Created                   pod/sleepbusy                                     Created container sleepbusy
22m         Normal    Killing                   pod/sleepbusy                                     Stopping container sleepbusy
22m         Normal    Pulling                   pod/sleepbusy                                     Pulling image "busybox"
22m         Normal    Scheduled                 pod/sleepbusy                                     Successfully assigned default/sleepbusy to workervm-centos
22m         Normal    Pulled                    pod/sleepbusy                                     Successfully pulled image "busybox" in 670.281512ms
22m         Normal    Created                   pod/sleepbusy                                     Created container sleepbusy
22m         Normal    Started                   pod/sleepbusy                                     Started container sleepbusy
22m         Normal    Killing                   pod/sleepbusy                                     Stopping container sleepbusy
19m         Normal    Scheduled                 pod/nginx                                         Successfully assigned default/nginx to workervm-centos
19m         Normal    Pulling                   pod/nginx                                         Pulling image "nginx"
18m         Normal    Pulled                    pod/nginx                                         Successfully pulled image "nginx" in 666.929207ms
18m         Normal    Created                   pod/nginx                                         Created container nginx
18m         Normal    Started                   pod/nginx                                         Started container nginx
17m         Normal    Killing                   pod/nginx                                         Stopping container nginx
11m         Normal    Scheduled                 pod/nginx                                         Successfully assigned default/nginx to workervm-centos
11m         Normal    Pulling                   pod/nginx                                         Pulling image "nginx"
11m         Normal    Pulled                    pod/nginx                                         Successfully pulled image "nginx" in 885.099987ms
11m         Normal    Created                   pod/nginx                                         Created container nginx
11m         Normal    Started                   pod/nginx                                         Started container nginx
11m         Normal    Killing                   pod/nginx                                         Stopping container nginx
8m13s       Normal    Scheduled                 pod/nginx                                         Successfully assigned default/nginx to workervm-centos
8m12s       Normal    Pulling                   pod/nginx                                         Pulling image "nginx"
8m12s       Normal    Pulled                    pod/nginx                                         Successfully pulled image "nginx" in 876.504785ms
8m12s       Normal    Created                   pod/nginx                                         Created container nginx
8m11s       Normal    Started                   pod/nginx                                         Started container nginx
7m44s       Warning   Unhealthy                 pod/nginx                                         Liveness probe failed: HTTP probe failed with statuscode: 404
7m44s       Normal    Killing                   pod/nginx                                         Stopping container nginx
3m56s       Normal    Scheduled                 pod/nginx                                         Successfully assigned default/nginx to workervm-centos
3m55s       Normal    Pulling                   pod/nginx                                         Pulling image "nginx"
3m54s       Normal    Started                   pod/nginx                                         Started container nginx
3m54s       Normal    Pulled                    pod/nginx                                         Successfully pulled image "nginx" in 682.922789ms
3m54s       Normal    Created                   pod/nginx                                         Created container nginx
2m31s       Warning   Unhealthy                 pod/nginx                                         Liveness probe failed: HTTP probe failed with statuscode: 404
2m31s       Normal    Killing                   pod/nginx                                         Stopping container nginx
86s         Normal    Scheduled                 pod/busy                                          Successfully assigned default/busy to workervm-centos
85s         Normal    Pulling                   pod/busy                                          Pulling image "busybox"
84s         Normal    Pulled                    pod/busy                                          Successfully pulled image "busybox" in 664.794368ms
84s         Normal    Created                   pod/busy                                          Created container busy
84s         Normal    Started                   pod/busy                                          Started container busy
